comparison,role,n_a,n_b,accuracy,auc,d_probe_axis_insample,d_probe_axis_heldout,d_meandiff_heldout,d_meandiff_insample,norm_dmean,embedder
COD10K 3040 vs CAMO 1000 -- INSIDE the target set,self-separation,3040,1000,0.8952145214521452,0.9225438596491228,2.6509327319916958,2.461991548565329,1.937072298250472,1.98618058658377,0.198561907662797,clipL224
"real vs real, RANDOM halves (true null)",null,2020,2020,0.4752475247524752,0.47172118201919205,0.4854429520131637,0.08887106720116386,-0.0950856207658298,0.3031038604983155,0.018692536892507453,clipL224
"real vs real, SORTED halves (the old defect)",old-defect,2020,2020,0.8226072607260726,0.8928019039527715,1.9301125343482144,1.764252766188209,1.1571966268486422,1.2003874884225774,0.16893222011164838,clipL224
real vs same images JPEG-90,floor,4040,4040,0.594059405940594,0.6265929810802863,0.6985828474935212,0.44249971749787026,0.21752635802170664,0.3651900624652475,0.028337762743924515,clipL224
real vs same images JPEG-75,floor,4040,4040,0.7858910891089109,0.8548338125891799,1.6537762283061344,1.5169012991174673,0.9135740521167744,0.9946781795470759,0.07770853779854717,clipL224
real vs same images JPEG-50,floor,4040,4040,0.9129537953795379,0.9690464714788309,3.026755042237318,2.9029679727718696,1.3709351818028712,1.456167589737506,0.1117292488024028,clipL224
real vs same images JPEG-30,floor,4040,4040,0.9628712871287128,0.9928486041673474,4.072506357912965,3.9684965867444495,1.7110264227585938,1.7727278041996017,0.13653877704453754,clipL224
real vs same images darkened 20,floor,4040,4040,0.7079207920792079,0.7689585171388426,1.2391959111314697,1.0209969665093563,0.521749309551776,0.5245567652707142,0.05506987155134198,clipL224
COD10K-train minus 7 vs COD10K-test (second null),null,4033,2026,0.652915291529153,0.5715596454980426,0.6652454236816552,0.3746729960365812,0.3640763748965736,0.4479311776225247,0.05033823553171621,clipL224
real target vs NC4K (cross-dataset real-vs-real),cross-dataset,4040,4121,0.8644344630461412,0.9381361539549267,2.3958816107351306,2.277298851108327,1.3635755731332733,1.3147148123649401,0.1458841771536641,clipL224
