stem,real_fg_lum,real_bg_lum,real_bg_r,real_bg_g,real_bg_b,gen_fg_lum,gen_bg_lum,gen_bg_r,gen_bg_g,gen_bg_b,auth_fg_lum,auth_bg_lum,auth_bg_r,auth_bg_g,auth_bg_b
3849,95.96477495107632,85.47886423185227,101.67669371653436,121.48930567655667,33.27059330246581,96.34778463545585,97.62286154318028,122.26485703378134,109.94509431561224,60.65863328014722,92.02252998143409,83.08262772007792,121.21632389361473,80.80571081766301,47.22584844895602
3853,102.85898577528141,134.28762219207283,107.16196241022381,136.08075824707547,159.62014591891918,102.64458752882618,105.04239365217913,114.75830400091081,110.88406182104534,89.48481513458127,97.73847523803,95.29935516108323,91.85945104885153,90.92716387890059,103.11145055549757
3855,116.53656391187876,160.43727704491786,175.37422422825824,176.9351441390613,129.00246276743417,116.17728199592179,102.87988560818414,119.9820173199717,106.2610354369845,82.39660406759624,101.51393386909761,129.92925140825517,133.2536202681282,134.75877416870404,121.77535978793334
3856,120.79170856376739,199.85526029257298,194.494850511106,200.3124471600953,204.75848320651755,120.65964890229597,98.10271116747367,93.2540830835447,94.67166243947429,106.38238797940204,107.7529537456008,70.54070273870829,57.446823841364996,64.73214011221275,89.44314426254708
3858,69.62659123055163,138.53931427640688,157.28699731248474,138.45527485951624,119.87567065721964,69.61318246110325,112.89698509650623,127.17937942829221,113.57738578060102,97.93419008062546,64.5378783592645,92.13908624480821,110.92490593696554,92.83221109210848,72.6601417053506
3859,200.77301177657142,93.54028462358757,78.40151933557725,89.79686962683535,112.4224649083501,200.9356886476224,110.21046653397664,105.6465408542876,109.48903223117243,115.49582651646989,186.22897570525942,184.51530624650476,175.75393641299252,183.92769088086033,193.86429144566134
3861,82.38475446590004,170.6288476467296,155.4341499521583,184.37106208589844,172.08133090213212,82.30863527880234,16.040812887773583,15.996642053763246,18.45089454965608,13.674902059901427,72.211542633977,8.920345062073862,9.932786914841762,9.698091747756855,7.130156523622971
3862,87.29189973068158,143.9759978541701,142.7542072975522,142.83878587559377,146.3350003893643,87.07423520475105,93.76250508336722,119.33936992204062,102.54794805015013,59.400197277910934,78.85118431047579,100.96663292176086,123.78392011975116,98.1075078089173,81.0084708366141
3863,162.15779559041192,143.5221883452336,117.41704088292308,143.8837218363709,169.26580231640673,161.70447686600156,163.14003643129195,163.78973105134475,167.85815174509784,157.77222649743325,152.6565941987198,90.90084324478777,88.90083675079633,92.75764423966724,91.04404874389971
3864,88.1722746762985,102.27351065894668,111.14856238807282,120.49409463958075,75.17787494918643,88.81266501911583,96.56344279765763,103.50059877607971,101.24504773728562,84.94468187960756,83.99300847010119,68.62081543414013,70.27915050703699,77.06617299684682,58.51712279853657
3865,133.53708565072301,137.6802964719834,161.67069077972133,138.1484731692855,113.22172546694337,133.81764923989618,107.71013736535231,142.9835161577231,107.34585235695226,72.80104358138156,129.0657471264368,135.91742267022434,173.8322087162763,141.46880521790692,92.45125407648978
3866,93.84914344685242,153.2123286791847,158.72551757342322,155.2412325469427,145.67023591718825,93.68125902992777,90.30051356122611,100.47848820414059,94.44430428502648,75.97874819451131,84.34518059855522,94.94943347777244,105.99748675974963,99.58708714492056,79.26372652864708
