embedder,k,set,role,n_real,n_other,precision,recall,recall_share_of_ceiling,recall_delta_vs_raw,rel_loss_vs_raw
dinoL518,5,"ceiling, SORTED halves (old defect)",ceiling-old,2020,2020,0.8712871670722961,0.8722772598266602,0.9249343859889959,,
dinoL518,5,COD10K 3040 vs CAMO 1000,self-separation,3040,1000,0.8680000305175781,0.9003289937973022,0.9546795307165089,,
dinoL518,10,authors' pool,generated,4040,4447,0.8178547620773315,0.5683168768882751,0.5757272146728826,-0.2735148072242737,0.3249043869293307
dinoL518,10,local renders,generated,4040,4447,0.7922194600105286,0.6349009871482849,0.6431795214763697,-0.20693069696426392,0.24581006021697596
dinoL518,10,raw HKU-IS (pre-LAKE-RED),input-pool,4040,4447,0.7058691382408142,0.8418316841125488,0.8528084074701509,,
dinoL518,10,NC4K (a different real set),cross-dataset,4040,4121,0.9667556285858154,0.9574257731437683,0.9699097388171634,,
dinoL518,10,"ceiling, RANDOM halves",ceiling,2020,2020,0.9792079329490662,0.987128734588623,1.0,,
dinoL518,10,"ceiling, SORTED halves (old defect)",ceiling-old,2020,2020,0.9346535205841064,0.9767327308654785,0.9894684417960167,,
dinoL518,10,COD10K 3040 vs CAMO 1000,self-separation,3040,1000,0.9350000619888306,0.982894778251648,0.9957108367038474,,
dinoL518,20,authors' pool,generated,4040,4447,0.921070396900177,0.682178258895874,0.6838709777649429,-0.27277225255966187,0.28564019735839746
dinoL518,20,local renders,generated,4040,4447,0.9017314910888672,0.7477722764015198,0.7496277565865379,-0.2071782350540161,0.21695180280937804
dinoL518,20,raw HKU-IS (pre-LAKE-RED),input-pool,4040,4447,0.8263998031616211,0.9549505114555359,0.9573200720926399,,
dinoL518,20,NC4K (a different real set),cross-dataset,4040,4121,0.995389461517334,0.9829208254814148,0.9853597900869214,,
dinoL518,20,"ceiling, RANDOM halves",ceiling,2020,2020,0.9955446124076843,0.9975247979164124,1.0,,
dinoL518,20,"ceiling, SORTED halves (old defect)",ceiling-old,2020,2020,0.9777228236198425,0.9950495362281799,0.9975185963362488,,
dinoL518,20,COD10K 3040 vs CAMO 1000,self-separation,3040,1000,0.9780000448226929,0.9986842274665833,1.0011623064936257,,
clipL224,3,authors' pool,generated,4040,4447,0.4461434781551361,0.06386138498783112,0.08022387542830281,-0.5314356535673141,0.8927234962518374
clipL224,3,local renders,generated,4040,4447,0.38970091938972473,0.06930693238973618,0.08706467470775149,-0.5259901061654091,0.8835758824570132
clipL224,3,raw HKU-IS (pre-LAKE-RED),input-pool,4040,4447,0.34360241889953613,0.5952970385551453,0.7478233594994178,,
clipL224,3,NC4K (a different real set),cross-dataset,4040,4121,0.5675806999206543,0.7029703259468079,0.8830845724579305,,
clipL224,3,"ceiling, RANDOM halves",ceiling,2020,2020,0.7811881303787231,0.7960396409034729,1.0,,
clipL224,3,"ceiling, SORTED halves (old defect)",ceiling-old,2020,2020,0.5504950881004333,0.7465347051620483,0.9378109666935198,,
clipL224,3,COD10K 3040 vs CAMO 1000,self-separation,3040,1000,0.4240000247955322,0.7868421673774719,0.9884459604102602,,
clipL224,5,authors' pool,generated,4040,4447,0.6294130682945251,0.12772276997566223,0.14301551529287737,-0.6193069517612457,0.8290258523065241
clipL224,5,local renders,generated,4040,4447,0.5833145976066589,0.1349009871482849,0.15105320839977157,-0.612128734588623,0.8194168408257859
