runid,arch,arm,seed,endpoint,n,shape_mismatch,infer,Sm,wFm,MAE,adpEm,meanEm,maxEm,adpFm,meanFm,maxFm
SINetv2_CSHUF_s42,SINetv2,CSHUF,42,COD10K,2026,0,done,0.701269,0.485308,0.087506,0.747563,0.760038,0.782774,0.521998,0.539426,0.563027
SINetv2_CSHUF_s43,SINetv2,CSHUF,43,COD10K,2026,0,done,0.694490,0.479123,0.087305,0.749230,0.755060,0.771906,0.521517,0.534573,0.551457
SINetv2_CSHUF_s45,SINetv2,CSHUF,45,COD10K,2026,0,done,0.696218,0.481721,0.089485,0.751271,0.756482,0.773657,0.522672,0.535776,0.554600
SINetv2_CSHUF_s46,SINetv2,CSHUF,46,COD10K,2026,0,done,0.695099,0.489203,0.086131,0.761589,0.761701,0.774116,0.531707,0.541426,0.555614
SINetv2_CSHUF_s47,SINetv2,CSHUF,47,COD10K,2026,0,done,0.700072,0.480252,0.084883,0.753094,0.756703,0.774921,0.524273,0.537961,0.555846
SINetv2_CSHUF_s48,SINetv2,CSHUF,48,COD10K,2026,0,done,0.696960,0.487872,0.087275,0.757448,0.760428,0.774544,0.530637,0.540980,0.554723
SINetv2_CSHUF_s49,SINetv2,CSHUF,49,COD10K,2026,0,done,0.700582,0.495485,0.082693,0.763986,0.766624,0.777423,0.537178,0.548202,0.561202
SINetv2_CSHUF_s50,SINetv2,CSHUF,50,COD10K,2026,0,done,0.703338,0.491546,0.085676,0.754274,0.764368,0.782959,0.528425,0.544417,0.565113
SINet_B_s42,SINet,B,42,NC4K,4121,0,done,0.764108,0.595587,0.087897,0.820683,0.785252,0.829958,0.680145,0.665577,0.701572
SINet_B_s43,SINet,B,43,NC4K,4121,0,done,0.768972,0.610683,0.085001,0.823596,0.795682,0.833602,0.687552,0.677918,0.708868
SINet_B_s45,SINet,B,45,NC4K,4121,0,done,0.767632,0.594525,0.088175,0.822234,0.787168,0.833464,0.687048,0.673423,0.710933
SINet_B_s46,SINet,B,46,NC4K,4121,0,done,0.770625,0.605238,0.085694,0.824268,0.793534,0.836307,0.687939,0.677494,0.711618
SINet_B_s47,SINet,B,47,NC4K,4121,0,done,0.770500,0.614042,0.083156,0.831166,0.793764,0.838136,0.696851,0.682482,0.717452
SINet_B_s48,SINet,B,48,NC4K,4121,0,done,0.768558,0.608988,0.085824,0.822337,0.793475,0.832900,0.686267,0.677778,0.710356
SINet_B_s49,SINet,B,49,NC4K,4121,0,done,0.770019,0.609376,0.084362,0.827380,0.795220,0.836713,0.693520,0.680324,0.713427
SINet_B_s50,SINet,B,50,NC4K,4121,0,done,0.763709,0.591247,0.090397,0.816701,0.784324,0.826142,0.676681,0.664708,0.699746
SINet_C10_s42,SINet,C10,42,NC4K,4121,0,done,0.765296,0.609419,0.086273,0.822312,0.793044,0.829203,0.684831,0.674991,0.704569
SINet_C10_s43,SINet,C10,43,NC4K,4121,0,done,0.771241,0.617398,0.085305,0.826012,0.798453,0.836072,0.691851,0.684508,0.715558
SINet_C10_s45,SINet,C10,45,NC4K,4121,0,done,0.770503,0.606186,0.086622,0.821971,0.792545,0.831017,0.689078,0.677982,0.710405
SINet_C10_s46,SINet,C10,46,NC4K,4121,0,done,0.769712,0.609170,0.084215,0.827134,0.794146,0.836218,0.691934,0.679013,0.713202
SINet_C10_s47,SINet,C10,47,NC4K,4121,0,done,0.767505,0.613086,0.084749,0.827611,0.792098,0.834135,0.694196,0.679794,0.712555
SINet_C10_s48,SINet,C10,48,NC4K,4121,0,done,0.760515,0.593268,0.088633,0.820859,0.780747,0.827892,0.682256,0.665095,0.702964
SINet_C10_s49,SINet,C10,49,NC4K,4121,0,done,0.769217,0.610194,0.085618,0.823627,0.794387,0.833291,0.691175,0.681350,0.713851
SINet_C10_s50,SINet,C10,50,NC4K,4121,0,done,0.772875,0.605680,0.085214,0.824789,0.791994,0.837484,0.690307,0.677962,0.715820
SINet_CINV_s42,SINet,CINV,42,NC4K,4121,0,done,0.774697,0.615555,0.083144,0.827395,0.800923,0.838721,0.692850,0.685734,0.716450
SINet_CINV_s43,SINet,CINV,43,NC4K,4121,0,done,0.774114,0.612549,0.084030,0.825126,0.800162,0.837994,0.688146,0.681714,0.713998
SINet_CINV_s45,SINet,CINV,45,NC4K,4121,0,done,0.768136,0.609711,0.084570,0.826873,0.789885,0.833547,0.692635,0.677648,0.713087
SINet_CINV_s46,SINet,CINV,46,NC4K,4121,0,done,0.771827,0.616708,0.083965,0.827027,0.799024,0.835854,0.695652,0.686080,0.715702
SINet_CINV_s47,SINet,CINV,47,NC4K,4121,0,done,0.770038,0.617002,0.084072,0.826652,0.798056,0.835421,0.692300,0.683499,0.713846
SINet_CINV_s48,SINet,CINV,48,NC4K,4121,0,done,0.772943,0.621270,0.082004,0.832943,0.798748,0.840923,0.701072,0.688047,0.721422
SINet_CINV_s49,SINet,CINV,49,NC4K,4121,0,done,0.767836,0.603190,0.086398,0.825185,0.791251,0.833407,0.687451,0.674906,0.708958
SINet_CINV_s50,SINet,CINV,50,NC4K,4121,0,done,0.771709,0.614120,0.083055,0.830359,0.793705,0.841017,0.697992,0.682331,0.719378
SINet_CSHUF_s42,SINet,CSHUF,42,NC4K,4121,0,done,0.766713,0.611015,0.085734,0.824451,0.794289,0.831468,0.688857,0.678785,0.708339
SINet_CSHUF_s43,SINet,CSHUF,43,NC4K,4121,0,done,0.767983,0.610660,0.085825,0.824793,0.792698,0.831563,0.690072,0.678878,0.710824
SINet_CSHUF_s45,SINet,CSHUF,45,NC4K,4121,0,done,0.767229,0.590895,0.089734,0.818692,0.786077,0.830227,0.679947,0.667104,0.703544
SINet_CSHUF_s46,SINet,CSHUF,46,NC4K,4121,0,done,0.770342,0.610253,0.084729,0.825798,0.795519,0.834818,0.691170,0.680639,0.712364
SINet_CSHUF_s47,SINet,CSHUF,47,NC4K,4121,0,done,0.764380,0.597811,0.086726,0.823740,0.785762,0.834366,0.686320,0.671502,0.709117
SINet_CSHUF_s48,SINet,CSHUF,48,NC4K,4121,0,done,0.771388,0.615676,0.083786,0.825878,0.798413,0.834895,0.690959,0.683055,0.713267
SINet_CSHUF_s49,SINet,CSHUF,49,NC4K,4121,0,done,0.765173,0.603648,0.089480,0.820062,0.791034,0.827389,0.682360,0.672915,0.704174
SINet_CSHUF_s50,SINet,CSHUF,50,NC4K,4121,0,done,0.768196,0.609042,0.085175,0.825866,0.791657,0.833844,0.690534,0.678066,0.711951
SINetv2_B_s42,SINetv2,B,42,NC4K,4121,0,done,0.753317,0.606123,0.097475,0.810381,0.794098,0.811188,0.663293,0.661198,0.679391
SINetv2_B_s43,SINetv2,B,43,NC4K,4121,0,done,0.743653,0.606844,0.095901,0.809729,0.797977,0.806090,0.660770,0.660693,0.671722
SINetv2_B_s45,SINetv2,B,45,NC4K,4121,0,done,0.748868,0.615240,0.091476,0.815830,0.802753,0.812160,0.671347,0.668104,0.677438
SINetv2_B_s46,SINetv2,B,46,NC4K,4121,0,done,0.744625,0.604257,0.095264,0.811807,0.793246,0.803263,0.664001,0.658639,0.669475
SINetv2_B_s47,SINetv2,B,47,NC4K,4121,0,done,0.750468,0.607650,0.095209,0.811515,0.800961,0.814192,0.660924,0.661989,0.678722
SINetv2_B_s48,SINetv2,B,48,NC4K,4121,0,done,0.756771,0.613002,0.095074,0.811332,0.800873,0.816726,0.664940,0.667826,0.686372
SINetv2_B_s49,SINetv2,B,49,NC4K,4121,0,done,0.751818,0.613682,0.091942,0.814345,0.803621,0.814998,0.668523,0.668481,0.681816
SINetv2_B_s50,SINetv2,B,50,NC4K,4121,0,done,0.750349,0.610064,0.092344,0.813382,0.799904,0.811546,0.667690,0.664482,0.676883
SINetv2_C10_s42,SINetv2,C10,42,NC4K,4121,0,done,0.748534,0.608100,0.096669,0.808746,0.799932,0.810865,0.658193,0.660136,0.675072
SINetv2_C10_s43,SINetv2,C10,43,NC4K,4121,0,done,0.750839,0.606013,0.097324,0.806477,0.797644,0.812606,0.656982,0.661265,0.680532
SINetv2_C10_s45,SINetv2,C10,45,NC4K,4121,0,done,0.749305,0.616029,0.092402,0.816270,0.803169,0.811925,0.670238,0.668566,0.678301
SINetv2_C10_s46,SINetv2,C10,46,NC4K,4121,0,done,0.749446,0.606163,0.094206,0.810389,0.798610,0.811140,0.661422,0.661529,0.676888
SINetv2_C10_s47,SINetv2,C10,47,NC4K,4121,0,done,0.739101,0.601207,0.095396,0.809127,0.797781,0.807009,0.660291,0.657985,0.666985
SINetv2_C10_s48,SINetv2,C10,48,NC4K,4121,0,done,0.748573,0.616269,0.090327,0.817422,0.804900,0.812925,0.670372,0.669213,0.678790
SINetv2_C10_s49,SINetv2,C10,49,NC4K,4121,0,done,0.744925,0.609836,0.091828,0.812735,0.801789,0.809982,0.666082,0.664775,0.674807
SINetv2_C10_s50,SINetv2,C10,50,NC4K,4121,0,done,0.761559,0.621541,0.090325,0.816534,0.810006,0.824927,0.671376,0.675592,0.694300
SINetv2_CINV_s42,SINetv2,CINV,42,NC4K,4121,0,done,0.752956,0.600124,0.095453,0.806932,0.796246,0.815196,0.656940,0.658024,0.678326
SINetv2_CINV_s43,SINetv2,CINV,43,NC4K,4121,0,done,0.753600,0.622025,0.089466,0.817224,0.808481,0.817549,0.673662,0.675021,0.685564
SINetv2_CINV_s45,SINetv2,CINV,45,NC4K,4121,0,done,0.753833,0.616887,0.094549,0.811890,0.803723,0.814584,0.667549,0.669280,0.683475
SINetv2_CINV_s46,SINetv2,CINV,46,NC4K,4121,0,done,0.749858,0.603213,0.096901,0.804889,0.796553,0.811631,0.655631,0.658604,0.677637
SINetv2_CINV_s47,SINetv2,CINV,47,NC4K,4121,0,done,0.746388,0.611074,0.092989,0.814165,0.800856,0.810142,0.667327,0.665124,0.674606
SINetv2_CINV_s48,SINetv2,CINV,48,NC4K,4121,0,done,0.761303,0.606398,0.096544,0.807042,0.797648,0.821353,0.660943,0.665749,0.693453
SINetv2_CINV_s49,SINetv2,CINV,49,NC4K,4121,0,done,0.751576,0.618532,0.090636,0.818180,0.807882,0.816396,0.669254,0.671153,0.683415
SINetv2_CINV_s50,SINetv2,CINV,50,NC4K,4121,0,done,0.756808,0.613316,0.093357,0.810446,0.803144,0.818239,0.664747,0.667710,0.686584
SINetv2_CSHUF_s42,SINetv2,CSHUF,42,NC4K,4121,0,done,0.754154,0.612460,0.093821,0.812362,0.804854,0.819615,0.663250,0.666401,0.684710
SINetv2_CSHUF_s43,SINetv2,CSHUF,43,NC4K,4121,0,done,0.750543,0.611327,0.094270,0.810799,0.800040,0.810530,0.664758,0.665727,0.679231
SINetv2_CSHUF_s45,SINetv2,CSHUF,45,NC4K,4121,0,done,0.749500,0.611780,0.095273,0.812031,0.798264,0.807914,0.666263,0.665000,0.677491
SINetv2_CSHUF_s46,SINetv2,CSHUF,46,NC4K,4121,0,done,0.748204,0.614939,0.094032,0.813870,0.803115,0.810849,0.665931,0.666990,0.678004
SINetv2_CSHUF_s47,SINetv2,CSHUF,47,NC4K,4121,0,done,0.749460,0.600813,0.096854,0.806364,0.793855,0.809617,0.657324,0.658295,0.677147
SINetv2_CSHUF_s48,SINetv2,CSHUF,48,NC4K,4121,0,done,0.750827,0.614789,0.093288,0.814565,0.801297,0.811354,0.669858,0.669119,0.681123
SINetv2_CSHUF_s49,SINetv2,CSHUF,49,NC4K,4121,0,done,0.750768,0.619160,0.089637,0.818073,0.806876,0.814776,0.673632,0.672577,0.682121
SINetv2_CSHUF_s50,SINetv2,CSHUF,50,NC4K,4121,0,done,0.757573,0.619580,0.090894,0.815985,0.808025,0.819969,0.670469,0.673374,0.689020
