name,mae,contaminated
COD10K-CAM-1-Aquatic-13-Pipefish-644,0.0581624903779137,0
COD10K-CAM-1-Aquatic-13-Pipefish-649,0.12623145616225992,0
COD10K-CAM-1-Aquatic-13-Pipefish-652,0.13258274862379069,0
COD10K-CAM-1-Aquatic-13-Pipefish-655,0.05339959136018681,0
COD10K-CAM-1-Aquatic-13-Pipefish-661,0.07189699559429891,0
COD10K-CAM-1-Aquatic-13-Pipefish-662,0.031275318617921516,0
COD10K-CAM-1-Aquatic-13-Pipefish-664,0.06769207116723501,0
COD10K-CAM-1-Aquatic-13-Pipefish-667,0.017911968151524762,0
COD10K-CAM-1-Aquatic-13-Pipefish-668,0.05085985270980137,0
COD10K-CAM-1-Aquatic-13-Pipefish-669,0.09133571549957875,0
COD10K-CAM-1-Aquatic-13-Pipefish-676,0.05057346119600183,0
COD10K-CAM-1-Aquatic-13-Pipefish-679,0.036701183570810245,0
COD10K-CAM-1-Aquatic-13-Pipefish-681,0.04507797340941585,0
COD10K-CAM-1-Aquatic-13-Pipefish-683,0.03765236909637273,0
COD10K-CAM-1-Aquatic-13-Pipefish-684,0.08818822999111746,0
COD10K-CAM-1-Aquatic-13-Pipefish-685,0.09891444647496628,0
COD10K-CAM-1-Aquatic-13-Pipefish-686,0.027743694829005818,0
COD10K-CAM-1-Aquatic-13-Pipefish-688,0.07986554149846213,0
COD10K-CAM-1-Aquatic-13-Pipefish-689,0.017990678443643597,0
COD10K-CAM-1-Aquatic-13-Pipefish-691,0.033070522152698276,0
COD10K-CAM-1-Aquatic-13-Pipefish-693,0.01783525058441868,0
COD10K-CAM-1-Aquatic-13-Pipefish-696,0.07734778154981103,0
COD10K-CAM-1-Aquatic-13-Pipefish-705,0.04058812962987536,0
COD10K-CAM-1-Aquatic-13-Pipefish-707,0.1253392687030867,0
COD10K-CAM-1-Aquatic-13-Pipefish-709,0.02121590508355035,0
COD10K-CAM-1-Aquatic-13-Pipefish-713,0.18202910579107945,0
COD10K-CAM-1-Aquatic-13-Pipefish-717,0.027394533604986646,0
COD10K-CAM-1-Aquatic-13-Pipefish-721,0.03584175857843137,0
COD10K-CAM-1-Aquatic-13-Pipefish-726,0.0458848570769816,0
COD10K-CAM-1-Aquatic-13-Pipefish-728,0.01520354149621049,0
COD10K-CAM-1-Aquatic-13-Pipefish-729,0.039985128165849676,0
COD10K-CAM-1-Aquatic-13-Pipefish-730,0.04913787343143638,0
COD10K-CAM-1-Aquatic-13-Pipefish-732,0.018169842888327205,0
COD10K-CAM-1-Aquatic-13-Pipefish-736,0.3426082410589975,0
COD10K-CAM-1-Aquatic-13-Pipefish-748,0.05834430611140477,0
COD10K-CAM-1-Aquatic-13-Pipefish-749,0.37340348686268127,0
COD10K-CAM-1-Aquatic-13-Pipefish-750,0.14328770830366044,0
