tag,B,alpha,repr,order,n_draws_paired,d_heldout,jaccard_vs_primary,d_order_spread,ORDER_SENSITIVE
dinoL518,250,0.5,R3_render,asc_nc,5,0.987883,0.945525,0.024014,0
dinoL518,250,0.5,R3_render,desc_es,5,0.99662,1.0,0.024014,0
dinoL518,250,0.5,R3_render,desc_nc,5,0.99662,1.0,0.024014,0
dinoL518,250,0.5,R3_render,shuffled_0,5,0.987013,0.976285,0.024014,0
dinoL518,250,0.5,R3_render,shuffled_1,5,1.001333,0.976285,0.024014,0
dinoL518,250,0.5,R3_render,shuffled_2,5,0.995235,0.976285,0.024014,0
dinoL518,250,0.5,R3_render,shuffled_3,5,1.020634,0.960784,0.024014,0
dinoL518,250,0.5,R3_render,shuffled_4,5,1.011129,0.960784,0.024014,0
dinoL518,250,0.5,R3_render,shuffled_5,5,0.974476,0.968504,0.024014,0
dinoL518,250,0.5,R3_render,shuffled_6,5,1.004648,0.953125,0.024014,0
dinoL518,250,0.5,R3_render,shuffled_7,5,0.984832,0.992032,0.024014,0
dinoL518,250,0.5,R3_render,shuffled_8,5,1.006387,0.968504,0.024014,0
dinoL518,250,0.5,R3_render,shuffled_9,5,0.97657,0.976285,0.024014,0
dinoL518,250,1.0,R2_cut,asc_index,5,0.788172,0.930502,0.113767,1
dinoL518,250,1.0,R2_cut,asc_nc,5,0.782075,0.865672,0.113767,1
dinoL518,250,1.0,R2_cut,desc_es,5,0.775189,0.976285,0.113767,1
dinoL518,250,1.0,R2_cut,desc_nc,5,0.848043,1.0,0.113767,1
dinoL518,250,1.0,R2_cut,shuffled_0,5,0.770379,0.901141,0.113767,1
dinoL518,250,1.0,R2_cut,shuffled_1,5,0.780468,0.923077,0.113767,1
dinoL518,250,1.0,R2_cut,shuffled_2,5,0.775359,0.886792,0.113767,1
dinoL518,250,1.0,R2_cut,shuffled_3,5,0.734276,0.901141,0.113767,1
dinoL518,250,1.0,R2_cut,shuffled_4,5,0.796034,0.886792,0.113767,1
dinoL518,250,1.0,R2_cut,shuffled_5,5,0.80946,0.908397,0.113767,1
dinoL518,250,1.0,R2_cut,shuffled_6,5,0.803889,0.901141,0.113767,1
dinoL518,250,1.0,R2_cut,shuffled_7,5,0.848381,0.953125,0.113767,1
dinoL518,250,1.0,R2_cut,shuffled_8,5,0.80488,0.915709,0.113767,1
dinoL518,250,1.0,R2_cut,shuffled_9,5,0.887292,0.908397,0.113767,1
dinoL518,250,1.0,R3_render,asc_index,5,0.748331,0.930502,0.064451,1
dinoL518,250,1.0,R3_render,asc_nc,5,0.726543,0.865672,0.064451,1
dinoL518,250,1.0,R3_render,desc_es,5,0.722666,0.976285,0.064451,1
dinoL518,250,1.0,R3_render,desc_nc,5,0.770225,1.0,0.064451,1
dinoL518,250,1.0,R3_render,shuffled_0,5,0.723737,0.901141,0.064451,1
dinoL518,250,1.0,R3_render,shuffled_1,5,0.75227,0.923077,0.064451,1
dinoL518,250,1.0,R3_render,shuffled_2,5,0.733257,0.886792,0.064451,1
dinoL518,250,1.0,R3_render,shuffled_3,5,0.705775,0.901141,0.064451,1
dinoL518,250,1.0,R3_render,shuffled_4,5,0.739743,0.886792,0.064451,1
dinoL518,250,1.0,R3_render,shuffled_5,5,0.730864,0.908397,0.064451,1
dinoL518,250,1.0,R3_render,shuffled_6,5,0.761885,0.901141,0.064451,1
dinoL518,250,1.0,R3_render,shuffled_7,5,0.791937,0.953125,0.064451,1
dinoL518,250,1.0,R3_render,shuffled_8,5,0.723552,0.915709,0.064451,1
dinoL518,250,1.0,R3_render,shuffled_9,5,0.80825,0.908397,0.064451,1
dinoL518,250,2.0,R2_cut,asc_index,5,0.780873,0.893939,0.161213,1
