tag,B,alpha,repr,k,clusters_funded,max_alloc_share,alloc_entropy_norm,tv_from_uniform,n_displaced,degenerate,norm_dmean,d_insample,d_heldout,d_heldout_sd,d_heldout_min,d_heldout_max,ci_lo,ci_hi,band_lo,band_hi,ci_straddles_band,d_order_spread,ORDER_SENSITIVE
dinoL518,1000,2.0,R3_render,75,75,0.063,0.95839,0.21106,473,0,0.070337,0.886974,0.494621,0.081114,0.346679,0.649943,0.300754,0.698646,AMBIGUOUS,REOPENS,1,0.055381,1
dinoL518,1000,5.0,R2_cut,75,75,0.026,0.99466,0.07567,471,0,0.071273,1.007332,0.541953,0.079706,0.367202,0.678991,0.342431,0.739599,AMBIGUOUS,REOPENS,1,0.052915,1
dinoL518,1000,5.0,R3_render,75,75,0.026,0.99466,0.07567,471,0,0.070242,0.912824,0.504005,0.078649,0.350357,0.652408,0.310834,0.710232,AMBIGUOUS,REOPENS,1,0.045738,0
dinoL518,1000,10.0,R2_cut,75,75,0.019,0.99876,0.03672,474,0,0.07159,0.989557,0.507793,0.081219,0.395387,0.665722,0.327094,0.722523,AMBIGUOUS,REOPENS,1,0.099566,1
dinoL518,1000,10.0,R3_render,75,75,0.019,0.99876,0.03672,474,0,0.070987,0.902445,0.488331,0.071823,0.374079,0.643068,0.311336,0.690091,AMBIGUOUS,REOPENS,1,0.090044,1
dinoL518,1000,20.0,R2_cut,75,75,0.016,0.9997,0.01815,473,0,0.070339,0.992308,0.495756,0.061952,0.401642,0.659414,0.33297,0.686177,AMBIGUOUS,REOPENS,1,0.071662,1
dinoL518,1000,20.0,R3_render,75,75,0.016,0.9997,0.01815,473,0,0.069445,0.897655,0.469528,0.061568,0.39285,0.600336,0.30568,0.654558,AMBIGUOUS,REOPENS,1,0.087177,1
dinoL518,1000,40.0,R2_cut,75,75,0.015,0.99993,0.00903,483,0,0.071286,0.989911,0.52191,0.060471,0.417647,0.62039,0.352707,0.689067,AMBIGUOUS,REOPENS,1,0.031939,0
dinoL518,1000,40.0,R3_render,75,75,0.015,0.99993,0.00903,483,0,0.070517,0.90211,0.497386,0.069897,0.394004,0.625622,0.323449,0.691713,AMBIGUOUS,REOPENS,1,0.035088,0
dinoL518,2000,0.02,R2_cut,75,1,1.0,0.0,0.98667,0,1,0.060417,0.664631,0.458992,0.04064,0.382471,0.542099,0.336,0.575131,AMBIGUOUS,REOPENS,1,0.0,0
