tag,B,alpha,repr,draw,norm_dmean,d_insample,d_heldout
dinoL518,250,2.0,R3_render,0,0.125399,1.833158,0.720546
dinoL518,250,2.0,R3_render,1,0.121332,1.573593,0.451302
dinoL518,250,2.0,R3_render,2,0.114529,1.886125,0.627542
dinoL518,250,2.0,R3_render,3,0.11509,1.73926,0.772442
dinoL518,250,2.0,R3_render,4,0.118605,1.829847,0.548983
dinoL518,250,2.0,R3_render,5,0.117673,1.760628,0.735446
dinoL518,250,2.0,R3_render,6,0.1167,1.73026,0.50946
dinoL518,250,2.0,R3_render,7,0.113484,1.674426,0.645949
dinoL518,250,2.0,R3_render,8,0.120707,1.864516,0.895731
dinoL518,250,2.0,R3_render,9,0.123241,1.796557,0.790574
dinoL518,250,2.0,R3_render,10,0.125185,1.812543,0.851799
dinoL518,250,2.0,R3_render,11,0.11661,1.70289,0.718934
dinoL518,250,2.0,R3_render,12,0.121851,1.785538,0.831742
dinoL518,250,2.0,R3_render,13,0.116383,1.672763,0.464305
dinoL518,250,2.0,R3_render,14,0.119887,1.706806,0.748276
dinoL518,250,2.0,R3_render,15,0.117034,1.718896,0.735216
dinoL518,250,2.0,R3_render,16,0.1211,1.869321,0.811576
dinoL518,250,2.0,R3_render,17,0.112714,1.583969,0.438729
dinoL518,250,2.0,R3_render,18,0.119443,1.72178,0.640132
dinoL518,250,2.0,R3_render,19,0.116784,1.817236,0.908082
dinoL518,250,5.0,R2_cut,0,0.120056,1.929067,0.659168
dinoL518,250,5.0,R2_cut,1,0.113779,1.834149,0.628264
dinoL518,250,5.0,R2_cut,2,0.118622,1.941926,0.822013
dinoL518,250,5.0,R2_cut,3,0.112977,1.927398,0.68057
dinoL518,250,5.0,R2_cut,4,0.11686,1.899925,0.480799
dinoL518,250,5.0,R2_cut,5,0.113397,1.878783,0.624204
dinoL518,250,5.0,R2_cut,6,0.113289,1.929622,0.543785
dinoL518,250,5.0,R2_cut,7,0.114706,1.80669,0.511977
dinoL518,250,5.0,R2_cut,8,0.115556,1.886278,0.783696
dinoL518,250,5.0,R2_cut,9,0.120881,1.923944,0.845168
dinoL518,250,5.0,R2_cut,10,0.117532,1.850553,0.730375
dinoL518,250,5.0,R2_cut,11,0.113624,1.947694,0.62336
dinoL518,250,5.0,R2_cut,12,0.119887,1.842592,0.858191
dinoL518,250,5.0,R2_cut,13,0.116438,1.827714,0.545978
dinoL518,250,5.0,R2_cut,14,0.114735,1.758789,0.693805
dinoL518,250,5.0,R2_cut,15,0.114798,1.969823,0.739843
dinoL518,250,5.0,R2_cut,16,0.118405,1.959166,0.839642
dinoL518,250,5.0,R2_cut,17,0.10972,1.717312,0.498823
dinoL518,250,5.0,R2_cut,18,0.117047,1.791436,0.599824
dinoL518,250,5.0,R2_cut,19,0.116847,1.929743,0.770142
dinoL518,250,5.0,R3_render,0,0.120412,1.754387,0.621905
dinoL518,250,5.0,R3_render,1,0.117433,1.438445,0.440726
dinoL518,250,5.0,R3_render,2,0.109772,1.769822,0.556041
dinoL518,250,5.0,R3_render,3,0.111065,1.705434,0.730816
dinoL518,250,5.0,R3_render,4,0.114685,1.733087,0.291235
dinoL518,250,5.0,R3_render,5,0.113058,1.724644,0.569771
dinoL518,250,5.0,R3_render,6,0.113547,1.636665,0.584236
dinoL518,250,5.0,R3_render,7,0.107224,1.671875,0.324187
dinoL518,250,5.0,R3_render,8,0.116542,1.756622,0.870788
dinoL518,250,5.0,R3_render,9,0.118078,1.676688,0.704284
dinoL518,250,5.0,R3_render,10,0.119612,1.65531,0.848345
dinoL518,250,5.0,R3_render,11,0.114459,1.651869,0.555946
dinoL518,250,5.0,R3_render,12,0.119207,1.66077,0.664028
dinoL518,250,5.0,R3_render,13,0.114173,1.5903,0.50239
dinoL518,250,5.0,R3_render,14,0.113432,1.614002,0.669883
dinoL518,250,5.0,R3_render,15,0.111171,1.691001,0.493745
dinoL518,250,5.0,R3_render,16,0.11629,1.697611,0.710949
dinoL518,250,5.0,R3_render,17,0.107122,1.469153,0.310985
dinoL518,250,5.0,R3_render,18,0.115062,1.596967,0.547397
dinoL518,250,5.0,R3_render,19,0.109463,1.695189,0.60647
dinoL518,250,10.0,R2_cut,0,0.119614,1.945868,0.639703
dinoL518,250,10.0,R2_cut,1,0.113928,1.855649,0.518194
dinoL518,250,10.0,R2_cut,2,0.118216,1.951134,0.973601
dinoL518,250,10.0,R2_cut,3,0.112912,1.953857,0.784709
dinoL518,250,10.0,R2_cut,4,0.116743,1.910712,0.489454
dinoL518,250,10.0,R2_cut,5,0.113006,1.892625,0.636197
dinoL518,250,10.0,R2_cut,6,0.113193,1.93069,0.39937
dinoL518,250,10.0,R2_cut,7,0.114075,1.816484,0.523002
dinoL518,250,10.0,R2_cut,8,0.115891,1.90486,0.763449
dinoL518,250,10.0,R2_cut,9,0.120483,1.934436,0.872104
dinoL518,250,10.0,R2_cut,10,0.116898,1.85811,0.772371
dinoL518,250,10.0,R2_cut,11,0.113337,1.965346,0.722639
dinoL518,250,10.0,R2_cut,12,0.119765,1.845972,0.61233
dinoL518,250,10.0,R2_cut,13,0.116222,1.841613,0.518753
dinoL518,250,10.0,R2_cut,14,0.114784,1.772465,0.605784
dinoL518,250,10.0,R2_cut,15,0.114571,1.995105,0.792131
dinoL518,250,10.0,R2_cut,16,0.118067,1.96852,0.831025
dinoL518,250,10.0,R2_cut,17,0.109089,1.72836,0.458894
dinoL518,250,10.0,R2_cut,18,0.117117,1.810825,0.743239
dinoL518,250,10.0,R2_cut,19,0.11653,1.949555,0.753433
dinoL518,250,10.0,R3_render,0,0.11969,1.746356,0.619275
dinoL518,250,10.0,R3_render,1,0.117794,1.430812,0.406183
dinoL518,250,10.0,R3_render,2,0.109172,1.752581,0.71409
dinoL518,250,10.0,R3_render,3,0.110538,1.712168,0.514163
dinoL518,250,10.0,R3_render,4,0.114125,1.727897,0.439313
dinoL518,250,10.0,R3_render,5,0.11259,1.720706,0.568935
dinoL518,250,10.0,R3_render,6,0.113207,1.620543,0.512481
dinoL518,250,10.0,R3_render,7,0.106262,1.680361,0.385949
dinoL518,250,10.0,R3_render,8,0.116385,1.759604,0.913523
dinoL518,250,10.0,R3_render,9,0.117665,1.674702,0.720436
dinoL518,250,10.0,R3_render,10,0.119101,1.632915,0.759293
dinoL518,250,10.0,R3_render,11,0.114037,1.646495,0.548862
dinoL518,250,10.0,R3_render,12,0.118739,1.649443,0.379903
dinoL518,250,10.0,R3_render,13,0.113617,1.580353,0.422348
dinoL518,250,10.0,R3_render,14,0.112622,1.621197,0.503627
dinoL518,250,10.0,R3_render,15,0.110695,1.6981,0.493602
dinoL518,250,10.0,R3_render,16,0.115835,1.680323,0.783151
dinoL518,250,10.0,R3_render,17,0.106428,1.45297,0.305434
dinoL518,250,10.0,R3_render,18,0.114584,1.591192,0.648778
dinoL518,250,10.0,R3_render,19,0.108889,1.712023,0.544733
dinoL518,250,20.0,R2_cut,0,0.119299,1.903115,0.679956
dinoL518,250,20.0,R2_cut,1,0.113895,1.82348,0.637316
dinoL518,250,20.0,R2_cut,2,0.118137,1.939956,0.873474
dinoL518,250,20.0,R2_cut,3,0.112585,1.932237,0.723714
dinoL518,250,20.0,R2_cut,4,0.116458,1.890808,0.526069
dinoL518,250,20.0,R2_cut,5,0.112033,1.903904,0.6532
dinoL518,250,20.0,R2_cut,6,0.113714,1.859551,0.45934
dinoL518,250,20.0,R2_cut,7,0.114701,1.773931,0.540623
dinoL518,250,20.0,R2_cut,8,0.115396,1.853675,0.672314
dinoL518,250,20.0,R2_cut,9,0.12032,1.909154,0.810958
dinoL518,250,20.0,R2_cut,10,0.116055,1.790454,0.79779
dinoL518,250,20.0,R2_cut,11,0.112751,1.905001,0.653158
dinoL518,250,20.0,R2_cut,12,0.118785,1.832714,0.868673
dinoL518,250,20.0,R2_cut,13,0.115196,1.810435,0.413365
dinoL518,250,20.0,R2_cut,14,0.113956,1.75428,0.464364
dinoL518,250,20.0,R2_cut,15,0.113637,1.972703,0.663799
dinoL518,250,20.0,R2_cut,16,0.118001,1.905269,0.697255
dinoL518,250,20.0,R2_cut,17,0.108154,1.697709,0.324245
dinoL518,250,20.0,R2_cut,18,0.117233,1.766909,0.701485
dinoL518,250,20.0,R2_cut,19,0.116219,1.913948,0.766287
dinoL518,250,20.0,R3_render,0,0.120014,1.708585,0.667804
dinoL518,250,20.0,R3_render,1,0.11881,1.404525,0.438936
dinoL518,250,20.0,R3_render,2,0.109504,1.73536,0.59233
dinoL518,250,20.0,R3_render,3,0.11107,1.705695,0.655258
