tag,B,alpha,repr,d_heldout,ci_draws_lo,ci_draws_hi,ci_boot_lo,ci_boot_hi,ci_combined_lo,ci_combined_hi,band_lo,band_hi,ci_straddles_band
dinoL518,3000,0.1,R2_cut,0.237282,0.20381,0.274979,0.156916,0.319783,0.156916,0.319783,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,0.1,R3_render,0.165368,0.127719,0.208575,0.080863,0.25209,0.080863,0.25209,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,0.2,R2_cut,0.242117,0.179091,0.304867,0.146547,0.337886,0.146547,0.337886,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,0.2,R3_render,0.179903,0.114162,0.217757,0.080198,0.264794,0.080198,0.264794,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,0.5,R2_cut,0.206846,0.154989,0.25825,0.116588,0.298029,0.116588,0.298029,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,0.5,R3_render,0.158377,0.110995,0.213899,0.065885,0.251115,0.065885,0.251115,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,1.0,R2_cut,0.151699,0.091881,0.19489,0.055482,0.238125,0.055482,0.238125,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,1.0,R3_render,0.115694,0.03541,0.158976,0.00519,0.204644,0.00519,0.204644,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,2.0,R2_cut,0.129684,0.099839,0.160023,0.047987,0.209418,0.047987,0.209418,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,2.0,R3_render,0.104757,0.057545,0.157078,0.01474,0.196587,0.01474,0.196587,CONFIRMED,CONFIRMED,0
dinoL518,3000,5.0,R2_cut,0.126372,0.085413,0.166425,0.040567,0.212657,0.040567,0.212657,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,5.0,R3_render,0.099525,0.057363,0.14855,0.009375,0.188708,0.009375,0.188708,CONFIRMED,CONFIRMED,0
dinoL518,3000,10.0,R2_cut,0.126301,0.068741,0.172148,0.030811,0.216363,0.030811,0.216363,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,10.0,R3_render,0.105296,0.045575,0.146694,0.01184,0.193228,0.01184,0.193228,CONFIRMED,CONFIRMED,0
dinoL518,3000,20.0,R2_cut,0.125038,0.094097,0.172984,0.041131,0.211001,0.041131,0.211001,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,20.0,R3_render,0.099089,0.039607,0.1581,0.004682,0.195117,0.004682,0.195117,CONFIRMED,CONFIRMED,0
dinoL518,3000,40.0,R2_cut,0.127898,0.075642,0.174879,0.037643,0.215438,0.037643,0.215438,CONFIRMED,AMBIGUOUS,1
dinoL518,3000,40.0,R3_render,0.098971,0.051673,0.150095,0.009228,0.189762,0.009228,0.189762,CONFIRMED,CONFIRMED,0
