arch,name,es_whole,es_boundary,ent_whole,ent_boundary,ens_a0_whole,ens_a0_boundary,ens_cshuf_whole,ens_cshuf_boundary,ent_eps12_whole,ent_eps12_boundary,es_band1,ent_band1,ens_a0_band1,ens_cshuf_band1,ens_a0_sd_whole,ens_a0_sd_boundary,ens_cshuf_sd_whole,ens_cshuf_sd_boundary,ens_a0_ownband,ens_cshuf_ownband,es_scalar,band_frac,band1_frac,band_empty,band1_empty
SINet/S2C,camourflage_00298.jpg,0.01536979808076898,0.30311943071718794,0.05261770621720128,0.7912706183662638,0.002116013016586569,0.008491054936053793,0.004063401435359364,0.0073430304962355765,0.05261770621720128,0.7912706183662638,0.326391721360243,0.9207672206053491,0.011095819818157127,0.011059239368622105,0.012744503610600455,0.07657723416833974,0.01593010991209835,0.05407835784887552,0.02812395121707648,0.050405287256788826,0.015369797125458717,0.012630746384297521,0.0063355501033057855,0,0
SINet/S2C,camourflage_00299.jpg,0.021229931306561787,0.39728944217324014,0.06244052390464641,0.9043811382473175,0.0006378859373262257,0.009004644847564228,0.005278115840244629,0.029904649391748337,0.06244052390464641,0.9043811382473175,0.4232919289649505,0.9728403578419936,0.009488610714382072,0.02991106994321187,0.008548704027923872,0.0811718723898416,0.026652087170813094,0.15160297791391955,0.013065154568661426,0.03740296351735949,0.021229930222034454,0.011872094524793389,0.005940082644628099,0,0
SINet/S2C,camourflage_00300.jpg,0.018418828870169185,0.38769980421639394,0.05695665881356274,0.8324049639416048,0.00033344841456516396,0.012637576180280385,0.00012242741042774334,0.0038800885995675712,0.05695628057124255,0.8324049639416048,0.3872028970310229,0.9443095055253921,0.014222947909775222,0.004715467902179851,0.004241743932688949,0.09992796026244062,0.004688339761996983,0.051973472473639204,0.013935144523306698,0.004702649589422057,0.018418829888105392,0.01363152117768595,0.0068359375,0,0
SINet/S2C,camourflage_00301.jpg,0.04716664930265265,0.32717524440455614,0.09122301939940569,0.8552028550984089,0.006141600220857681,0.028768184133335994,0.0005087415037603206,0.009145052999591405,0.09122301939940569,0.8552028550984089,0.3472767202832923,0.9538247411369049,0.031860747647069254,0.011168938248773309,0.027541037914168582,0.15069217050885245,0.005891851053927798,0.07443306750733249,0.031992258736530325,0.01119865837696042,0.047166645526885986,0.031500193698347105,0.01585905216942149,0,0
SINet/S2C,camourflage_00302.jpg,0.026054349152059328,0.32092269903069964,0.08498335023228115,0.8390292970171479,0.0006466619878307953,0.009693228638854232,0.009276525424350543,0.01422716886414688,0.08498291766022324,0.8390292970171479,0.3382360146435318,0.9469588103693359,0.012473434910314194,0.016776894187888067,0.008565485731792253,0.08427225082735693,0.03933108795850071,0.10241255086970744,0.011724907176680914,0.043883243753634206,0.026054348796606064,0.020669227789256197,0.010370932334710745,0,0
SINet/S2C,camourflage_00303.jpg,0.12595459460267278,0.48009563857282433,0.311455860598544,0.9524677873328607,0.0037677310052758846,0.01391755263913699,0.0032828659994842825,0.016255342775459238,0.311455860598544,0.9524677873328607,0.5047845034182784,0.9856987997325742,0.01424208011493174,0.01667126903589519,0.024239853159393067,0.0706094633741134,0.01675411637043286,0.06997608565352238,0.033036997712908446,0.03604888182156461,0.12595458328723907,0.03899793388429752,0.01958774535123967,0,0
SINet/S2C,camourflage_00304.jpg,0.05290707463033405,,0.19931257083783163,,0.015038223747414283,,0.02395585180978591,,0.19931257083783163,,,,,,0.05368877032775758,,0.08767131579284038,,,0.09709028275366467,0.052907075732946396,0.0,0.0,1,1
SINet/S2C,camourflage_00305.jpg,0.02583472144713233,0.3845643916225442,0.0629968124847152,0.8256294135611987,0.0007816221130892478,0.02145248180529529,0.00046160437638908505,0.010734805859517683,0.0629954780890316,0.8256294135611987,0.4104220987554046,0.9443931612511766,0.026072932818167496,0.012944382106131807,0.007442662678448475,0.12625180749514164,0.005357886268164078,0.08375078587601706,0.02518570861105528,0.014089560072394392,0.025834720581769943,0.022243026859504134,0.011137654958677686,0,0
SINet/S2C,camourflage_00306.jpg,0.01868549680313687,0.34013391444933583,0.05023456129669893,0.6765943222844691,0.00022367562990161695,0.006756284740714152,0.0007702520383254082,0.009985651744858092,0.050233021887973656,0.6765943222844691,0.3875126122226459,0.8696352640935859,0.008963025720602561,0.013531549258436167,0.0035732870214870657,0.07021324412107793,0.0059890563557952635,0.07723305253459577,0.007083995137963368,0.016354733174473363,0.018685495480895042,0.0215650826446281,0.010806753615702479,0,0
SINet/S2C,camourflage_00307.jpg,0.09520890330964096,0.40410187257384417,0.19743147325296423,0.9223822884323725,0.04298046969396186,0.0711296255030354,0.013998856812045594,0.04182878280535188,0.19743144688363545,0.9223822884323725,0.4250567495249785,0.976543710023288,0.07525249784402176,0.04420984643829651,0.12177880974724833,0.21876974207546326,0.056905572947497624,0.16148731681943912,0.08067946383888162,0.04527662622495993,0.09520889073610306,0.02253357438016529,0.011331353305785124,0,0
