fit_on,embedder,primary,split,k,error,run,clusters,min_imgs,rho,p,perm_p
tgt,L224,0,val,50,MAE,repro,7,8,0.9642857142857145,0.00045414916919416935,0.0033993201359728054
tgt,L224,0,val,50,1-Sa,repro,7,8,0.9285714285714288,0.0025194724037946887,0.007798440311937612
tgt,L224,0,val,50,1-IoU_soft,repro,7,8,0.9285714285714288,0.0025194724037946887,0.007798440311937612
tgt,L224,0,val,50,1-IoU_hard,repro,7,8,0.9285714285714288,0.0025194724037946887,0.007798440311937612
tgt,L224,0,val,100,MAE,repro,4,9,1.0,0.0,0.07878424315136973
tgt,L224,0,val,100,1-Sa,repro,4,9,0.7999999999999999,0.2000000000000001,0.33213357328534293
tgt,L224,0,val,100,1-IoU_soft,repro,4,9,0.39999999999999997,0.6,0.7416516696660668
tgt,L224,0,val,100,1-IoU_hard,repro,4,9,0.39999999999999997,0.6,0.7416516696660668
split,L224,0,test,15,MAE,repro,15,24,0.8357142857142855,0.00010444687327713341,nan
split,L224,0,test,15,1-Sa,repro,15,24,0.33928571428571425,0.2160289253419548,nan
split,L224,0,test,15,1-IoU_soft,repro,15,24,0.23928571428571427,0.3903793119202356,nan
split,L224,0,test,15,1-IoU_hard,repro,15,24,0.27499999999999997,0.32121117331937665,nan
split,L224,0,test,20,MAE,repro,20,40,0.8706766917293233,5.953878226538431e-07,nan
split,L224,0,test,20,1-Sa,repro,20,40,0.437593984962406,0.05366144000429179,nan
split,L224,0,test,20,1-IoU_soft,repro,20,40,0.34736842105263155,0.13344922901624712,nan
split,L224,0,test,20,1-IoU_hard,repro,20,40,0.38796992481203,0.09097286579754235,nan
split,L224,0,test,50,MAE,repro,49,10,0.8777551020408162,1.2532630604533115e-16,nan
split,L224,0,test,50,1-Sa,repro,49,10,0.49938775510204075,0.00025932108682990396,nan
split,L224,0,test,50,1-IoU_soft,repro,49,10,0.32693877551020406,0.021853655471474005,nan
split,L224,0,test,50,1-IoU_hard,repro,49,10,0.3796938775510204,0.007127425828380835,nan
split,L224,0,test,100,MAE,repro,89,8,0.862019067075247,2.0901783048588613e-27,nan
split,L224,0,test,100,1-Sa,repro,89,8,0.3656622403813416,0.0004254936004486443,nan
split,L224,0,test,100,1-IoU_soft,repro,89,8,0.1927306775621383,0.07037030290289506,nan
split,L224,0,test,100,1-IoU_hard,repro,89,8,0.2404324140279197,0.023233564662339435,nan
split,L224,0,val,15,MAE,repro,11,8,0.9454545454545454,1.1183037701493194e-05,0.0001999600079984003
split,L224,0,val,15,1-Sa,repro,11,8,0.7818181818181819,0.004473162252783043,0.0061987602479504095
split,L224,0,val,15,1-IoU_soft,repro,11,8,0.7272727272727273,0.011204967253592074,0.014597080583883223
split,L224,0,val,15,1-IoU_hard,repro,11,8,0.7272727272727273,0.011204967253592074,0.014597080583883223
split,L224,0,val,20,MAE,repro,11,8,0.9363636363636365,2.2082076449177507e-05,0.0001999600079984003
split,L224,0,val,20,1-Sa,repro,11,8,0.7545454545454545,0.007282041008429154,0.010397920415916816
split,L224,0,val,20,1-IoU_soft,repro,11,8,0.6454545454545455,0.03196279932801746,0.03779244151169766
split,L224,0,val,20,1-IoU_hard,repro,11,8,0.6818181818181819,0.020842853610945084,0.025994801039792043
split,L224,0,val,50,MAE,repro,8,8,0.9761904761904763,3.314396026200098e-05,0.0005998800239952009
split,L224,0,val,50,1-Sa,repro,8,8,0.8333333333333335,0.010175540123456752,0.014797040591881624
split,L224,0,val,50,1-IoU_soft,repro,8,8,0.4761904761904762,0.23293553465009798,0.244751049790042
split,L224,0,val,50,1-IoU_hard,repro,8,8,0.5714285714285715,0.13895995716070672,0.14637072585482905
split,L224,0,val,100,MAE,repro,3,8,1.0,0.0,0.33193361327734455
split,L224,0,val,100,1-Sa,repro,3,8,0.5,0.6666666666666666,1.0
split,L224,0,val,100,1-IoU_soft,repro,3,8,0.5,0.6666666666666666,1.0
split,L224,0,val,100,1-IoU_hard,repro,3,8,0.5,0.6666666666666666,1.0
